nombre,serie,h_mm,b_mm,tw_mm,tf_mm,r_mm,masa_kg_m,A_cm2,Avy_cm2,Avz_cm2,Iy_cm4,Wely_cm3,Wply_cm3,iy_cm,Iz_cm4,Welz_cm3,Wplz_cm3,iz_cm,It_cm4,Iw_cm6
IPE80,IPE,80.0,46.0,3.8,5.2,5.0,6.0,7.64,4.78,3.58,80.14,20.03,23.22,3.24,8.489,3.691,5.818,1.05,0.6727,115.1
IPE100,IPE,100.0,55.0,4.1,5.7,7.0,8.1,10.32,6.27,5.08,171.0,34.2,39.41,4.07,15.92,5.789,9.146,1.24,1.153,342.1
IPE120,IPE,120.0,64.0,4.4,6.3,7.0,10.4,13.21,8.06,6.31,317.8,52.96,60.73,4.9,27.67,8.646,13.58,1.45,1.689,872.0
IPE140,IPE,140.0,73.0,4.7,6.9,7.0,12.9,16.43,10.07,7.64,541.2,77.32,88.34,5.74,44.92,12.31,19.25,1.65,2.401,1951.0
IPE160,IPE,160.0,82.0,5.0,7.4,9.0,15.8,20.09,12.14,9.66,869.3,108.7,123.9,6.58,68.31,16.66,26.1,1.84,3.53,3889.0
IPE180,IPE,180.0,91.0,5.3,8.0,9.0,18.8,23.95,14.56,11.25,1317.0,146.3,166.4,7.42,100.9,22.16,34.6,2.05,4.723,7322.0
IPE200,IPE,200.0,100.0,5.6,8.5,12.0,22.4,28.48,17.0,14.0,1943.0,194.3,220.6,8.26,142.4,28.47,44.61,2.24,6.846,12746.0
IPE220,IPE,220.0,110.0,5.9,9.2,12.0,26.2,33.37,20.24,15.88,2772.0,252.0,285.4,9.11,204.9,37.25,58.11,2.48,8.982,22310.0
IPE240,IPE,240.0,120.0,6.2,9.8,15.0,30.7,39.12,23.52,19.14,3892.0,324.3,366.6,9.97,283.6,47.27,73.92,2.69,12.74,36680.0
IPE270,IPE,270.0,135.0,6.6,10.2,15.0,36.1,45.95,27.54,22.14,5790.0,428.9,484.0,11.23,419.9,62.2,96.95,3.02,15.71,69469.0
IPE300,IPE,300.0,150.0,7.1,10.7,15.0,42.2,53.81,32.1,25.68,8356.0,557.1,628.4,12.46,603.8,80.5,125.2,3.35,19.75,124260.0
IPE330,IPE,330.0,160.0,7.5,11.5,18.0,49.1,62.61,36.8,30.81,11770.0,713.1,804.3,13.71,788.1,98.52,153.7,3.55,27.59,196090.0
IPE360,IPE,360.0,170.0,8.0,12.7,18.0,57.1,72.73,43.18,35.14,16270.0,903.6,1019.0,14.95,1043.0,122.8,191.1,3.79,37.08,309370.0
IPE400,IPE,400.0,180.0,8.6,13.5,21.0,66.3,84.46,48.6,42.69,23130.0,1156.0,1307.0,16.55,1318.0,146.4,229.0,3.95,50.41,482890.0
IPE450,IPE,450.0,190.0,9.4,14.6,21.0,77.6,98.82,55.48,50.85,33740.0,1500.0,1702.0,18.48,1676.0,176.4,276.4,4.12,66.05,780970.0
IPE500,IPE,500.0,200.0,10.2,16.0,21.0,90.7,115.52,64.0,59.87,48200.0,1928.0,2194.0,20.43,2142.0,214.2,335.9,4.31,88.62,1235400.0
IPE550,IPE,550.0,210.0,11.1,17.2,24.0,105.5,134.42,72.24,72.34,67120.0,2441.0,2787.0,22.35,2668.0,254.1,400.5,4.45,121.7,1861500.0
IPE600,IPE,600.0,220.0,12.0,19.0,24.0,122.4,155.98,83.6,83.78,92080.0,3069.0,3512.0,24.3,3387.0,307.9,485.6,4.66,164.6,2814700.0
HEA100,HEA,96.0,100.0,5.0,8.0,12.0,16.7,21.24,16.0,7.56,349.2,72.76,83.01,4.06,133.8,26.76,41.14,2.51,5.199,2475.0
HEA120,HEA,114.0,120.0,5.0,8.0,12.0,19.9,25.34,19.2,8.46,606.2,106.3,119.5,4.89,230.9,38.48,58.85,3.02,5.957,6285.0
HEA140,HEA,133.0,140.0,5.5,8.5,12.0,24.7,31.42,23.8,10.12,1033.0,155.4,173.5,5.73,389.3,55.62,84.85,3.52,8.032,14729.0
HEA160,HEA,152.0,160.0,6.0,9.0,15.0,30.4,38.77,28.8,13.21,1673.0,220.1,245.1,6.57,615.6,76.95,117.6,3.98,11.84,30615.0
HEA180,HEA,171.0,180.0,6.0,9.5,15.0,35.5,45.25,34.2,14.47,2510.0,293.6,324.9,7.45,924.6,102.7,156.5,4.52,14.66,59014.0
